State,"Population
Covered","Total
Offenses","Assault
Offenses","Homicide
Offenses","Human
Trafficking
Offenses","Kidnapping/
Abduction","Sex
Offenses"
Alabama,3734077,70855,68366,381,18,388,1702
Alaska,402557,6858,5945,31,2,29,851
Arizona,3949562,45372,40946,235,7,706,3478
Arkansas,2916168,66379,62317,339,6,658,3059
California,2861998,32707,29983,126,0,576,2022
Colorado,5766585,70645,60730,434,63,2528,6890
Connecticut,3605597,31205,28878,164,13,282,1868
Delaware,1003384,16740,15724,108,5,198,705
District of Columbia,670050,10204,9761,109,0,29,305
Florida,NA,427,405,0,0,6,16
Georgia,8709490,123610,113071,794,171,2262,7312
Hawaii,1059012,11661,10707,8,5,295,646
Idaho,1889225,17815,15311,46,4,220,2234
Illinois,7845636,91087,86266,536,7,633,3645
Indiana,5229123,67873,60965,495,58,1578,4777
Iowa,2927835,32743,30201,96,14,235,2197
Kansas,2614220,37482,34002,95,0,1195,2190
Kentucky,4505498,48846,44032,426,38,1179,3171
Louisiana,3321430,56353,53294,477,8,630,1944
Maine,1366119,13310,12209,30,2,25,1044
Maryland,2902491,27379,25455,153,4,61,1706
Massachusetts,6937375,72253,67351,153,41,582,4126
Michigan,9785364,161963,148483,870,42,922,11646
Minnesota,5699338,50619,44593,276,105,640,5005
Mississippi,1673199,23436,22153,173,3,105,1002
Missouri,5885677,84290,77897,641,43,966,4743
Montana,1098323,15993,13975,39,2,297,1680
Nebraska,1471365,17001,15158,47,19,162,1615
Nevada,3130107,67066,61689,245,218,898,4016
New Hampshire,1355329,14803,12764,23,9,217,1790
New Jersey,3844336,17728,16532,140,2,85,969
New Mexico,1285483,28139,25449,193,12,822,1663
New York,3719239,36803,34355,125,4,569,1750
North Carolina,9859219,143884,134322,1020,60,1814,6668
North Dakota,774948,13075,11803,28,7,116,1121
Ohio,10536226,154750,144022,842,28,1922,7936
Oklahoma,3965482,62154,56383,346,27,732,4666
Oregon,4093590,40502,36127,242,38,493,3602
Pennsylvania,2173050,31764,29675,548,16,68,1457
Rhode Island,1094546,9192,8268,40,5,56,823
South Carolina,5112587,93278,87692,605,26,1032,3923
South Dakota,824054,13290,11942,46,8,139,1155
Tennessee,6968993,146650,137869,761,108,2144,5768
Texas,28865719,465503,435319,2370,549,3102,24163
Utah,3188815,37427,31081,98,64,1050,5134
Vermont,645570,4045,3589,15,4,76,361
Virginia,8640726,102759,94446,666,62,1738,5847
Washington,7700987,82643,75137,361,59,1252,5834
West Virginia,1575083,14435,12807,107,62,168,1291
Wisconsin,5423821,48549,42121,401,80,971,4976
Wyoming,450309,5867,5202,33,13,68,551
