"","Crimes Against Society Offenses","...2","...3","...4","...5","...6","...7","...8","...9","...10"
"1","Offense Category",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","by State, 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,"Total
Offenses","Offense Category",NA,NA,NA,NA,NA
"5","State","Number of
Participating
Agencies","Population
Covered",NA,"Animal
Cruelty","Drug/
Narcotic
Offenses","Gambling
Offenses","Pornography/
Obscene
Material","Prostitution
Offenses","Weapon
Law
Violations"
"6","Total","11794","215058917","1620563","16497","1290858","1815","31873","11565","267955"
"7","Alabama","356","3734077","30075","351","25687","13","286","39","3699"
"8","Alaska","30","402557","1730","20","1229","0","36","18","427"
"9","Arizona","79","3949562","34213","396","29650","0","749","164","3254"
"10","Arkansas","285","2916168","38618","30","34344","21","490","101","3632"
"11","California","15","2861998","25946","40","21994","4","54","380","3474"
"12","Colorado","235","5766585","34379","860","24110","6","927","296","8180"
"13","Connecticut","107","3605597","10693","149","7220","4","239","37","3044"
"14","Delaware","62","1003384","12571","1280","8902","38","97","27","2227"
"15","District of Columbia","2","670050","2188","7","654","3","27","0","1497"
"16","Florida1","2",NA,"192","2","162","0","2","1","25"
"17","Georgia","447","8709490","54557","1180","44766","31","1208","287","7085"
"18","Hawaii","2","1059012","3019","49","2137","329","81","31","392"
"19","Idaho","110","1889225","27036","58","25531","0","262","36","1149"
"20","Illinois","328","7845636","17855","89","11375","1","540","95","5755"
"21","Indiana","190","5229123","50117","627","41868","289","747","116","6470"
"22","Iowa","205","2927835","23455","149","20714","6","429","41","2116"
"23","Kansas","334","2614220","30757","0","27863","5","381","114","2394"
"24","Kentucky","426","4505498","47562","215","43248","37","582","65","3415"
"25","Louisiana","136","3321430","40033","302","32035","61","808","198","6629"
"26","Maine","129","1366119","4796","46","4214","1","137","16","382"
"27","Maryland","18","2902491","9629","284","7697","0","118","59","1471"
"28","Massachusetts","376","6937375","15412","206","10120","76","900","200","3910"
"29","Michigan","618","9785364","47520","675","27302","40","1091","715","17697"
"30","Minnesota","411","5699338","38135","379","29660","26","966","103","7001"
"31","Mississippi","137","1673199","20233","185","17672","20","204","33","2119"
"32","Missouri","477","5885677","66992","387","55939","25","672","175","9794"
"33","Montana","106","1098323","6103","153","5607","3","24","23","293"
"34","Nebraska","267","1471365","16597","82","14908","0","264","58","1285"
"35","Nevada","56","3130107","30287","280","21492","54","588","1915","5958"
"36","New Hampshire","208","1355329","7289","167","5945","2","697","27","451"
"37","New Jersey","177","3844336","4957","28","3497","2","24","82","1324"
"38","New Mexico","42","1285483","8402","76","5638","0","150","22","2516"
"39","New York","124","3719239","6720","1","4826","5","137","15","1736"
"40","North Carolina","387","9859219","111936","574","90542","75","1820","255","18670"
"41","North Dakota","112","774948","13892","119","12803","5","246","40","679"
"42","Ohio","596","10536226","74351","322","57367","15","1288","552","14807"
"43","Oklahoma","452","3965482","33260","194","26527","1","938","228","5372"
"44","Oregon","208","4093590","15389","462","8316","1","487","304","5819"
"45","Pennsylvania","40","2173050","10321","60","5890","15","107","69","4180"
"46","Rhode Island","47","1094546","3904","44","2556","7","352","8","937"
"47","South Carolina","411","5112587","58770","379","48001","47","959","99","9285"
"48","South Dakota","110","824054","11866","30","10688","14","242","33","859"
"49","Tennessee","437","6968993","105759","571","88169","35","950","407","15627"
"50","Texas","1007","28865719","220310","2952","175637","449","4903","2860","33509"
"51","Utah","126","3188815","43979","116","39435","1","535","134","3758"
"52","Vermont","88","645570","1386","28","1169","1","81","10","97"
"53","Virginia","411","8640726","53228","1185","35386","15","2084","373","14185"
"54","Washington","248","7700987","16024","299","9325","25","619","314","5442"
"55","West Virginia","247","1575083","13520","25","11512","2","498","49","1434"
"56","Wisconsin","323","5423821","60506","309","45779","5","1752","324","12337"
"57","Wyoming","47","450309","4094","75","3750","0","95","17","157"
"58","1Data was reported by the Seminole and Miccosukee Tribes. These agencies have no population associated with them.",NA,NA,NA,NA,NA,NA,NA,NA,NA
